Sun:  Spectral Radiance,
Wavelength (nm),Solar Radiance
,(watts/m2-sr-nm)
1173.9999999999998,7754.411764705881
1176.0,7623.529411764704
1178.0,7632.352941176471
1179.9999999999998,7704.411764705883
1182.0,7586.764705882353
1184.0,7504.41176470588
1185.9999999999998,7627.941176470589
1188.0,7463.235294117647
1190.0,7477.941176470587
1192.0,7589.705882352941
1193.9999999999998,7566.176470588233
1196.0,7476.470588235292
1198.0,7269.117647058823
1199.9999999999998,7357.352941176468
1202.0,7452.941176470588
1204.0,7276.470588235295
1206.0,7410.2941176470595
1207.9999999999998,7191.176470588233
1210.0,7179.411764705883
1212.0,7254.411764705883
1213.9999999999998,7267.647058823528
1216.0,7249.999999999998
1218.0,7201.470588235295
1220.0,7169.117647058822
1221.9999999999998,7138.235294117647
1224.0,7126.470588235293
1226.0,7083.823529411765
1227.9999999999998,7016.176470588236
1230.0,7047.058823529412
1232.0,6985.294117647058
1233.9999999999998,6954.41176470588
1235.9999999999998,6939.70588235294
1238.0,6916.176470588235
1240.0,6842.647058823528
1241.9999999999998,6826.470588235295
1244.0,6792.647058823528
1246.0,6816.176470588236
1247.9999999999998,6813.235294117645
1250.0,6799.999999999999
1252.0,6722.058823529412
1254.0,6726.470588235293
1255.9999999999998,6692.64705882353
1258.0,6666.176470588234
1260.0,6661.764705882353
1261.9999999999998,6613.235294117645
1264.0,6585.294117647058
1266.0,6569.117647058822
1268.0,6495.588235294116
1269.9999999999998,6548.5294117647045
1272.0,6547.05882352941
1274.0,6516.176470588233
1275.9999999999998,6545.588235294118
1278.0,6529.411764705883
1280.0,6405.882352941175
1281.9999999999998,5902.941176470587
1283.9999999999998,6263.235294117647
1286.0,6364.705882352941
1288.0,6344.117647058823
1289.9999999999998,6257.352941176468
1292.0,6255.882352941177
1294.0,6210.294117647059
1295.9999999999998,6211.764705882353
1297.9999999999998,6152.9411764705865
1300.0,6155.882352941177
1302.0,6086.764705882351
1303.9999999999998,6045.588235294118
1306.0,6082.352941176471
1308.0,6063.235294117647
1309.9999999999998,6038.235294117648
1312.0,5930.882352941175
1314.0,5914.705882352941
1316.0,5851.470588235293
1317.9999999999998,5907.35294117647
1320.0,5905.882352941177
1322.0,5861.764705882353
1323.9999999999998,5854.411764705883
1326.0,5807.352941176469
1328.0,5747.058823529411
1330.0,5702.941176470587
1331.9999999999998,5680.882352941176
1334.0,5723.5294117647045
1336.0,5685.294117647059
1337.9999999999998,5635.294117647057
1340.0,5573.529411764706
1342.0,5595.588235294118
1343.9999999999998,5585.2941176470595
1345.9999999999998,5547.058823529411
1348.0,5538.235294117645
1350.0,5476.470588235295
1351.9999999999998,5502.941176470587
1354.0,5473.5294117647045
1356.0,5404.411764705881
1357.9999999999998,5423.529411764706
1359.9999999999998,5401.470588235295
1362.0,5407.352941176471
1364.0,5377.941176470588
1365.9999999999998,5377.941176470588
1368.0,5335.2941176470595
1370.0,5292.64705882353
1371.9999999999998,5324.999999999999
1374.0,5310.294117647058
1376.0,5236.764705882353
1378.0,5264.70588235294
1379.9999999999998,5263.235294117647
1382.0,5213.235294117646
1384.0,5216.176470588235
1385.9999999999998,5194.117647058823
1388.0,5191.176470588234
1390.0,5155.882352941177
1391.9999999999998,5166.176470588235
1393.9999999999998,5129.411764705882
1396.0,5127.941176470588
1398.0,5135.2941176470595
1399.9999999999998,5039.705882352941
1402.0,5057.352941176468
1404.0,5041.176470588233
1405.9999999999998,5045.588235294118
1407.9999999999998,5039.705882352941
1410.0,5026.470588235293
1412.0,4923.5294117647045
1413.9999999999998,4966.176470588235
1416.0,4977.941176470588
1418.0,4979.411764705883
1419.9999999999998,4936.764705882353
1421.9999999999998,4875.0
1424.0,4869.117647058823
1426.0,4825.0
1427.9999999999998,4830.882352941177
1430.0,4789.70588235294
1432.0,4852.941176470588
1433.9999999999998,4829.411764705883
1436.0,4830.882352941177
1438.0,4827.941176470587
1440.0,4688.235294117646
1441.9999999999998,4685.294117647057
1444.0,4701.470588235292
1446.0,4729.411764705882
1447.9999999999998,4729.411764705882
1450.0,4686.764705882351
1452.0,4638.235294117647
1453.9999999999998,4622.058823529412
1455.9999999999998,4604.41176470588
1458.0,4657.352941176469
1460.0,4641.176470588233
1461.9999999999998,4589.70588235294
1464.0,4566.176470588235
1466.0,4570.588235294118
1467.9999999999998,4579.411764705883
1469.9999999999998,4561.764705882352
1472.0,4519.117647058823
1474.0,4461.764705882353
1475.9999999999998,4482.352941176471
1478.0,4476.470588235295
1480.0,4511.764705882353
1481.9999999999998,4476.470588235295
1483.9999999999998,4469.117647058823
1486.0,4460.2941176470595
1488.0,4198.5294117647045
1489.9999999999998,4433.823529411763
1492.0,4438.235294117647
1494.0,4460.2941176470595
1495.9999999999998,4370.588235294118
1498.0,4402.941176470588
1500.0,4427.941176470587
1501.9999999999998,4299.999999999998
1503.9999999999998,4116.176470588234
1506.0,4188.235294117647
1508.0,4292.647058823528
1509.9999999999998,4333.823529411765
1512.0,4283.823529411765
1514.0,4239.705882352941
1515.9999999999998,4238.235294117647
1517.9999999999998,4241.176470588233
1520.0,4214.705882352941
1522.0,4152.9411764705865
1523.9999999999998,4169.1176470588225
1526.0,4185.2941176470595
1528.0,4185.2941176470595
1529.9999999999998,4066.1764705882356
1531.9999999999998,4151.470588235294
1534.0,4094.1176470588225
1536.0,4126.470588235295
1537.9999999999998,4077.9411764705865
1540.0,4014.7058823529414
1542.0,4048.529411764704
1543.9999999999998,4085.294117647057
1546.0,4076.470588235294
1548.0,3986.764705882353
1549.9999999999998,3989.705882352939
1551.9999999999998,4016.1764705882356
1554.0,3935.294117647059
1556.0,3927.9411764705883
1557.9999999999998,3954.411764705881
1560.0,3945.5882352941167
1562.0,3966.176470588235
1563.9999999999998,3925.0000000000005
1565.9999999999998,3902.9411764705887
1568.0,3872.058823529411
1570.0,3889.7058823529414
1571.9999999999998,3930.882352941175
1574.0,3838.2352941176473
1576.0,3729.4117647058806
1577.9999999999998,3745.5882352941167
1579.9999999999998,3897.058823529412
1582.0,3808.823529411765
1584.0,3810.294117647059
1585.9999999999998,3822.058823529412
1588.0,3661.764705882353
1590.0,3536.764705882352
1591.9999999999998,3714.7058823529396
1593.9999999999998,3798.5294117647045
1596.0,3685.294117647057
1598.0,3742.6470588235293
1599.9999999999998,3694.1176470588225
1602.0,3660.294117647059
1604.0,3672.0588235294117
1605.9999999999998,3642.6470588235293
1608.0,3663.2352941176455
1610.0,3529.411764705881
1611.9999999999998,3573.5294117647045
1613.9999999999998,3601.470588235294
1616.0,3491.176470588235
1618.0,3563.2352941176455
